FBin        FFTr             FFTi             SpectraPower
0FD       FFF551FA         000A6B87         000000DEA27A4955
0FE       FFDBD0DB         00234FDB         000009FC39E180B2
0FF       FE302B31         01C49170         000668755BC99061
100       05793408         FAA8CEDD         003A7B08575BAB09
101       FC11C29B         03D5CF5E         001E289582EA705D
102       005D095F         FFA538EB         0000420064F378FA
103       00128864         FFEDEBB3         0000029E532A8639
104       0006D1E4         FFF95821         0000005ACF4EC751
105       00034035         FFFCD345         00000014A58B5B92
106       0001D0AC         FFFE3AD4         000000066DA4B320
107       00011C0D         FFFEEBE6         0000000264F4EB4D
108       0000B86B         FFFF49F1         000000010653519A
109       000082B1         FFFF820C         0000000080B06EF1
10A       00005C12         FFFFA4E2         00000000418B48C8
10B       00004678         FFFFBD3C         0000000024CF7E50
10C       000033E8         FFFFCB61         0000000015573D01
10D       00002A69         FFFFD86D         000000000D24BD7A
10E       00002096         FFFFDFD4         000000000830DF74
10F       00001B44         FFFFE5F6         00000000058D7274
110       00001661         FFFFEAED         0000000003B0F02A
111       00001213         FFFFEE6C         00000000027BAAF9
112       000010D3         FFFFF06D         00000000020D9C52
113       00000B01         FFFFF323         00000000011E8CCA
114       00000D61         FFFFF477         0000000001380E12
115       000007F3         FFFFF744         00000000008B7AB9
116       00000871         FFFFF887         00000000007F1912
117       00000747         FFFFF6BF         00000000008A9832
118       00000638         FFFFFC43         000000000034A5C9
119       00000512         FFFFF7DB         00000000005C0A9D
11A       00000401         FFFFFD8F         000000000015FDE2
11B       00000539         FFFFFB2B         0000000000329FEA
11C       00000550         FFFFFB03         0000000000351B09
11D       0000020A         FFFFFDB7         0000000000096135
11E       000003F7         FFFFFBF8         00000000001FF891
11F       000002C7         FFFFFC73         000000000014525A
120       00000197         FFFFFE63         000000000005215A
121       000003C5         FFFFFCF5         0000000000177812
122       0000020C         FFFFFE4F         0000000000070CF1
123       0000025A         FFFFFE77         000000000007E2F5
124       00000214         FFFFFCDC         00000000000E2EA0
125       000000FB         FFFFFFCF         000000000000FF7A
126       00000218         FFFFFF06         0000000000055664
127       0000025D         FFFFFDDE         00000000000A224D
128       0000006A         FFFFFE20         000000000003AFE4
129       000002B7         FFFFFFD0         00000000000767D1
12A       00000035         FFFFFE2E         0000000000035B3D
12B       00000144         FFFFFF9E         000000000001BF94
12C       00000141         FFFFFE48         00000000000486C1
12D       FFFFFF27         FFFFFE93         000000000002C05A
12E       000001C9         FFFFFFA7         0000000000034EC2
12F       FFFFFFE3         FFFFFEE3         0000000000014092
130       0000012C         FFFFFEDB         000000000002AEE9
131       0000023A         FFFFFFED         000000000004F68D
132       FFFFFE98         FFFFFEF5         00000000000310B9
133       000001BB         FFFFFFF8         000000000002FED9
134       FFFFFEE2         FFFFFEE5         000000000002785D
135       000001C7         FFFFFEB3         000000000004D9DA
136       FFFFFF87         FFFFFFBA         0000000000004C55
137       000001F8         00000097         0000000000043951
138       FFFFFE92         FFFFFE90         0000000000041C44
139       0000019C         FFFFFF4A         0000000000031874
13A       00000004         00000123         0000000000014AD9
13B       000001F1         FFFFFE44         000000000006C6F1
13C       FFFFFF21         0000004B         000000000000D83A
13D       00000070         FFFFFFAB         0000000000004D39
13E       00000049         00000074         0000000000004961
13F       000000AA         FFFFFEA3         0000000000024CAD
140       FFFFFEBC         FFFFFF41         0000000000022891
141       000001F3         000001BF         000000000006D92A
142       FFFFFF0C         FFFFFE78         00000000000340D0
143       00000123         00000013         0000000000014C32
144       00000033         FFFFFEF9         000000000001185A
145       FFFFFF80         000000A6         000000000000ABA4
146       00000019         FFFFFF04         000000000000FA81
147       FFFFFFC5         00000174         0000000000022A29
148       0000022A         FFFFFE36         000000000007E248
149       FFFFFF15         00000037         000000000000E38A
